Sample	Count	Sequencer	FLASH_merged.total	FLASH_merged.unique	FLASH_merged.multread_unique	FLASH_merged.obs_gt10k	Swarm.min2reads.FLASH_merged.total	Swarm.min2reads.FLASH_merged.unique	Swarm.min2reads.FLASH_merged.multread_unique	Swarm.min2reads.FLASH_merged.obs_gt10k
SRR8423900	984088	Illumina MiSeq	912264	129718	24952	698	807498	2327	2327	198
SRR8423846	13031727	Illumina NovaSeq 6000	10077010	1596990	258619	709	8738639	13982	13982	440
SRR8423823	12672547	Illumina NovaSeq 6000	9785000	1499115	250387	694	8536272	13719	13719	459
SRR8423816	13537348	Illumina NovaSeq 6000	12541236	1582616	249592	691	11208212	19147	19147	355
SRR8423899	972280	Illumina MiSeq	901885	139414	25435	802	787906	2038	2038	230
SRR8423811	143700	Illumina MiSeq	125069	24557	5955	816	106467	1216	1216	229
SRR8423864	208897	Illumina MiSeq	168354	45588	11529	869	134295	2479	2479	783
SRR8423888	172378	Illumina MiSeq	147912	28299	6134	761	125747	899	899	217
SRR8423913	130294	Illumina MiSeq	110329	28215	7602	722	89716	1282	1282	509
SRR8423853	14855966	Illumina NovaSeq 6000	12288062	1924242	315896	671	10679716	19150	19150	480
SRR8423797	108455	Illumina MiSeq	93530	19721	5058	799	78867	1205	1205	274
SRR8423897	184862	Illumina MiSeq	159441	29164	6758	787	137035	921	921	193
SRR8423912	173365	Illumina MiSeq	144123	34783	9167	696	118507	1292	1292	461
SRR8423895	119946	Illumina MiSeq	101113	20614	4182	683	84681	605	605	179
SRR8423804	114730	Illumina MiSeq	100364	21566	5309	702	84107	1217	1217	236
SRR8423845	12587	Illumina MiSeq	10360	1797	574	574	9137	8	8	8
SRR8423862	161675	Illumina MiSeq	131772	38797	11176	882	104151	3777	3777	963
SRR8423839	119558	Illumina MiSeq	101798	20681	4905	716	86022	806	806	211
SRR8423799	1653	Illumina MiSeq	1416	320	85	320	1181	4	4	4
SRR8423831	18010530	Illumina NovaSeq 6000	12313850	1587521	233208	680	10959537	11368	11368	242
SRR8423871	17109238	Illumina NovaSeq 6000	10296624	2346869	264487	663	8214242	6714	6714	186
SRR8423902	1279222	Illumina MiSeq	1093269	174473	45087	835	963883	4299	4299	579
SRR8423813	185108	Illumina MiSeq	160584	33838	7674	800	134420	1515	1515	266
SRR8423865	216386	Illumina MiSeq	176422	46912	12228	888	141738	2446	2446	774
SRR8423869	718	Illumina MiSeq	409	120	20	120	309	4	4	4
SRR8423838	104614	Illumina MiSeq	88755	19011	3989	799	73733	669	669	219
SRR8423911	173420	Illumina MiSeq	146121	37005	8812	743	117928	1386	1386	473
SRR8423835	18898195	Illumina NovaSeq 6000	12867222	1559707	223187	626	11530702	11265	11265	217
SRR8423834	17720066	Illumina NovaSeq 6000	11047972	1317200	191803	660	9922575	9404	9404	217
SRR8423916	169550	Illumina MiSeq	139944	33672	8719	780	114991	1234	1234	427
SRR8423830	13794276	Illumina NovaSeq 6000	9200282	1252311	174250	649	8122221	9287	9287	228
SRR8423906	1174312	Illumina MiSeq	1092381	154277	27199	725	965303	2422	2422	212
SRR8423875	22275436	Illumina NovaSeq 6000	13840611	2120987	300035	760	12019659	11523	11523	261
SRR8423917	185600	Illumina MiSeq	152609	36956	9775	729	125428	1264	1264	391
SRR8423843	14272314	Illumina NovaSeq 6000	8966852	1246336	183375	754	7903891	12274	12274	278
SRR8423837	20016455	Illumina NovaSeq 6000	12092064	1830802	267502	753	10528764	16762	16762	339
SRR8423805	119611	Illumina MiSeq	104814	21484	5805	726	89135	1342	1342	226
SRR8423904	1272635	Illumina MiSeq	1072492	189109	51558	803	934941	4625	4625	530
SRR8423814	1613157	Illumina MiSeq	1388630	222004	54752	736	1221378	4432	4432	476
SRR8423886	183712	Illumina MiSeq	152798	36084	9157	805	125871	1539	1539	457
SRR8423882	20240060	Illumina NovaSeq 6000	16642034	2741833	458859	855	14359060	24945	24945	770
SRR8423854	466603	Illumina NovaSeq 6000	393055	99968	18321	738	311408	2017	2017	494
SRR8423850	15955302	Illumina NovaSeq 6000	12857071	1976734	321273	701	11201610	19057	19057	485
SRR8423800	258794	Illumina MiSeq	222974	38542	9148	781	193580	1241	1241	202
SRR8423801	121846	Illumina MiSeq	103290	21199	4983	753	87074	808	808	211
SRR8423859	97890	Illumina MiSeq	81153	21549	5775	805	65379	1300	1300	579
SRR8423901	888371	Illumina MiSeq	821694	112986	20890	668	729598	2013	2013	180
SRR8423836	14027792	Illumina NovaSeq 6000	8331734	1222718	177471	721	7286487	12221	12221	293
