Sample	Count	Sequencer	FLASH_merged.total	FLASH_merged.unique	FLASH_merged.multread_unique	FLASH_merged.obs_gt10k
SRR8423911	173420	Illumina MiSeq	146121	37005	8812	743
SRR8423835	18898195	Illumina NovaSeq 6000	12867222	1559707	223187	626
SRR8423834	17720066	Illumina NovaSeq 6000	11047972	1317200	191803	660
SRR8423916	169550	Illumina MiSeq	139944	33672	8719	780
SRR8423830	13794276	Illumina NovaSeq 6000	9200282	1252311	174250	649
SRR8423906	1174312	Illumina MiSeq	1092381	154277	27199	725
SRR8423875	22275436	Illumina NovaSeq 6000	13840611	2120987	300035	760
SRR8423917	185600	Illumina MiSeq	152609	36956	9775	729
SRR8423843	14272314	Illumina NovaSeq 6000	8966852	1246336	183375	754
SRR8423837	20016455	Illumina NovaSeq 6000	12092064	1830802	267502	753
SRR8423805	119611	Illumina MiSeq	104814	21484	5805	726
SRR8423904	1272635	Illumina MiSeq	1072492	189109	51558	803
SRR8423814	1613157	Illumina MiSeq	1388630	222004	54752	736
SRR8423886	183712	Illumina MiSeq	152798	36084	9157	805
SRR8423882	20240060	Illumina NovaSeq 6000	16642034	2741833	458859	855
SRR8423854	466603	Illumina NovaSeq 6000	393055	99968	18321	738
SRR8423850	15955302	Illumina NovaSeq 6000	12857071	1976734	321273	701
SRR8423800	258794	Illumina MiSeq	222974	38542	9148	781
SRR8423801	121846	Illumina MiSeq	103290	21199	4983	753
SRR8423859	97890	Illumina MiSeq	81153	21549	5775	805
SRR8423901	888371	Illumina MiSeq	821694	112986	20890	668
SRR8423836	14027792	Illumina NovaSeq 6000	8331734	1222718	177471	721
