Genus	Basepaws_WGS1	Basepaws_WGS2	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Bradyrhizobium	8221	130134	0	10	1273	0	0	0	0	0	0	0	0	1170	1176	0	1854	0	0	0	0	0	0	0	0	0	0	0
Rhodopseudomonas	679	23546	0	0	361	0	0	0	0	0	0	0	0	228	168	0	524	0	0	0	0	0	0	0	0	0	4	0
Bosea	484	16912	0	5	311	0	0	0	0	0	0	0	0	255	340	0	232	0	0	0	0	0	0	0	0	0	0	0
Nitrobacter	180	6230	0	0	194	0	0	0	0	0	0	0	0	268	256	0	45	0	0	0	0	0	0	0	0	0	0	0
Afipia	116	3180	0	0	18	0	0	0	0	0	0	0	0	11	22	0	19	0	0	0	0	0	0	0	0	0	0	0
Tardiphaga	87	3367	0	0	50	0	0	0	0	0	0	0	0	42	20	0	25	0	0	0	0	0	0	0	0	0	0	0
Variibacter	54	1446	0	0	33	0	0	0	0	0	0	0	0	14	26	0	21	0	0	0	0	0	0	0	0	0	0	0
Oligotropha	52	2163	0	0	35	0	0	0	0	0	0	0	0	43	49	0	44	0	0	0	0	0	0	0	0	0	0	0
Rhizobium	3024	82625	0	2	1549	0	0	0	0	0	0	0	0	1599	1678	0	2535	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium	1093	38091	0	5	536	0	0	0	0	5	0	0	0	413	478	0	967	0	0	0	0	0	0	0	0	0	0	0
Neorhizobium	352	9457	8	54	157	0	0	0	3	0	0	0	5	96	104	0	223	0	2	2	5	1	38	0	4	0	0	0
Sinorhizobium	870	27398	0	0	450	0	0	0	0	0	0	0	0	329	441	0	807	0	0	0	0	0	0	0	0	0	0	0
Ensifer	409	9302	8	4	170	0	0	0	0	0	2	0	0	182	217	0	259	0	0	0	0	0	0	0	0	0	0	0
Liberibacter	349	5083	0	0	9	0	0	0	0	0	0	0	0	16	16	0	7	0	0	0	0	0	1	0	0	0	0	0
Shinella	107	8400	0	0	91	0	0	0	0	0	0	0	0	71	65	0	93	0	0	0	0	0	0	0	0	0	0	0
Georhizobium	72	698	0	0	16	0	0	0	0	0	0	0	0	30	32	0	53	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	2029	74965	0	16	957	0	0	0	0	0	0	0	0	968	1039	0	1283	0	0	0	0	0	0	0	0	0	0	0
Aminobacter	213	9656	0	0	87	0	0	0	0	0	0	0	0	45	57	0	114	0	0	0	0	0	0	0	0	0	0	0
Nitratireductor	119	4480	0	0	72	0	0	0	0	0	0	0	0	38	35	0	269	0	0	0	0	0	0	0	0	0	0	0
Hoeflea	115	3096	0	0	36	0	0	0	0	0	0	0	0	29	55	0	79	0	0	0	0	0	0	0	0	0	0	0
Phyllobacterium	105	2663	0	0	29	0	0	0	0	0	0	0	0	6	16	0	260	0	0	0	0	0	0	0	0	0	0	0
Chelativorans	70	1068	0	0	49	0	0	0	0	0	0	0	0	15	30	0	88	0	0	0	0	0	0	0	0	0	0	0
Lentilitoribacter	42	613	0	0	2	0	0	0	0	0	0	0	0	1	10	0	95	0	0	0	0	0	0	0	0	0	0	0
Roseitalea	31	4384	0	0	66	0	0	0	0	0	0	0	0	14	26	0	55	0	0	0	0	0	0	0	0	0	0	0
Salaquimonas	18	4037	0	0	36	0	0	0	0	0	0	0	0	27	26	0	56	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium	1695	46797	0	6	635	0	0	0	0	0	0	0	0	454	501	0	974	0	0	0	0	0	0	0	0	0	0	0
Methylorubrum	452	7175	0	0	233	0	0	0	0	0	0	0	0	240	208	0	239	0	0	0	0	0	0	0	0	0	0	0
Microvirga	188	11693	0	0	156	0	0	0	0	0	0	0	0	71	112	0	388	0	0	0	0	0	0	0	0	0	0	0
Bartonella	1717	9805	0	0	140	0	0	0	0	0	0	0	0	114	102	0	202	0	0	0	0	0	0	0	0	0	0	0
Rhodoplanes	418	7527	0	0	72	0	0	0	0	0	0	0	0	83	134	0	61	0	0	0	0	0	0	0	0	0	0	0
Hyphomicrobium	221	5510	0	1	286	0	0	0	0	0	0	0	0	328	308	0	179	0	0	0	0	0	0	0	0	0	0	0
Devosia	192	10845	0	0	122	0	0	0	0	0	0	0	0	87	125	0	254	0	0	0	0	0	0	0	0	0	0	0
Blastochloris	140	8186	0	0	82	0	0	0	0	0	0	0	0	107	130	0	119	0	0	0	0	0	0	0	0	0	0	0
Youhaiella	109	3178	0	0	25	0	0	0	0	0	0	0	0	14	14	0	113	0	0	0	0	0	0	0	0	0	0	0
Pelagibacterium	96	1603	0	0	11	0	0	0	0	0	0	0	0	5	5	0	29	0	0	0	0	0	0	0	0	0	0	0
Maritalea	89	3156	0	0	19	0	0	0	0	0	0	0	0	8	11	0	36	0	0	0	0	0	0	0	0	0	0	0
Filomicrobium	66	1920	0	0	8	0	0	0	0	0	0	0	0	4	11	0	23	0	0	0	0	0	0	0	0	0	0	0
Rhodomicrobium	59	2011	0	1	45	0	0	0	0	0	0	0	0	33	26	0	24	0	0	0	0	0	0	0	0	0	0	0
Pseudolabrys	301	6954	0	12	57	0	0	0	0	0	0	0	0	45	105	0	81	0	0	0	0	0	0	0	0	0	0	0
Ancylobacter	137	9628	0	0	120	0	0	0	0	0	0	0	0	53	71	0	255	0	0	0	0	0	0	0	0	0	0	0
Azorhizobium	88	5810	0	0	37	0	0	0	0	0	0	0	0	35	54	0	83	0	0	0	0	0	2	0	0	0	0	0
Xanthobacter	82	2152	0	0	68	0	0	0	0	0	0	0	0	82	157	0	160	0	0	0	0	0	0	0	0	0	0	0
Labrys	79	8087	0	0	39	0	0	0	0	0	0	0	2	33	58	0	73	0	0	0	0	0	0	0	0	0	0	0
Starkeya	44	5736	0	0	16	0	0	0	0	0	0	0	0	13	19	0	32	0	0	0	0	0	0	0	0	0	0	0
Methylocystis	370	16585	0	0	155	0	0	0	0	0	0	0	0	120	169	0	363	0	0	0	0	0	0	0	0	0	0	0
Methylosinus	182	4777	0	0	53	0	0	0	0	0	0	0	0	29	56	0	72	0	0	0	0	0	0	0	0	0	0	0
Terasakiella	70	601	2	23	17	0	0	0	0	0	0	0	6	12	4	0	22	0	0	0	0	0	4	0	0	0	0	0
Ochrobactrum	333	10137	0	0	94	0	0	0	0	0	0	0	0	54	96	0	272	0	0	0	0	0	0	0	0	0	0	0
Brucella	172	5753	0	0	38	0	0	0	0	0	0	0	0	23	46	0	66	0	0	0	0	0	0	0	0	0	0	0
Pseudorhodoplanes	100	2250	0	0	25	0	0	0	0	0	0	0	0	15	30	0	60	0	0	0	0	0	0	0	0	0	0	0
Methyloceanibacter	94	5995	0	0	25	0	0	0	0	0	0	0	0	23	23	0	57	0	0	0	0	0	0	0	0	0	0	0
Hartmannibacter	85	2956	0	0	73	0	0	0	0	0	0	0	0	41	31	0	95	0	0	0	0	0	0	0	0	0	0	0
CandidatusHodgkinia	84	201	0	12	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
Nordella	77	6262	0	0	25	0	0	0	0	0	0	0	0	13	18	0	56	0	0	0	0	0	0	0	0	0	0	0
Methylocella	132	3541	0	0	33	0	0	0	0	0	0	0	0	26	51	0	186	0	0	0	0	0	0	0	0	0	0	0
Beijerinckia	48	1277	0	0	23	0	0	0	0	0	0	0	0	8	5	0	16	0	0	0	0	0	0	0	0	0	0	0
Methylovirgula	41	4528	0	0	34	0	0	0	0	0	0	0	0	11	14	0	20	0	0	0	0	0	0	0	0	0	0	0
Cohaesibacter	99	3218	0	1	21	0	0	0	0	0	0	0	0	24	23	0	27	0	0	0	0	0	0	0	0	0	0	0
Breoghania	93	5857	0	0	51	0	0	0	0	0	0	0	0	65	35	0	75	0	0	0	0	0	0	0	0	0	0	0
Chelatococcus	170	8771	0	0	105	0	0	0	0	0	0	0	0	55	58	0	191	0	0	0	0	0	0	0	0	0	0	0
Martelella	134	10749	0	0	87	0	0	0	0	0	0	0	0	105	161	0	225	0	0	0	0	0	0	0	0	0	0	0
Aureimonas	34	3157	0	0	36	0	0	0	0	0	0	0	0	31	23	0	53	0	0	0	0	0	0	0	0	0	0	0
CandidatusPhaeomarinobacter	59	1291	0	1	5	0	0	0	0	0	0	0	0	5	5	0	13	0	0	0	0	0	0	0	0	0	0	0
Parvibaculum	34	5419	0	0	50	0	0	0	0	0	0	0	0	13	33	0	72	0	0	0	0	0	0	0	0	0	0	0
Zymomonas	6975	1566	0	0	678	0	0	0	0	0	0	0	0	385	528	0	481	0	0	0	0	0	0	0	0	0	0	0
