Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS-DOWNSAMPLE_1M
Leclercia	12	96	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pseudocitrobacter	12	13	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cronobacter	12	70	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusProfftia	10	7	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	4	0	0	0	6	0
Pluralibacter	8	61	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cedecea	7	78	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kluyvera	5	46	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusSchneideria	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lelliottia	3	44	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shigella	2	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Plesiomonas	2	46	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shimwellia	2	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jejubacter	2	16	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudescherichia	2	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scandinavium	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusRiesia	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusMoranella	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	1	1	0	0	0	1	0
Serratia	1214	503	40	0	1	0	12	0	0	0	2	1	0	0	101	0	0	0	2	1	0	0	1	0	0	0	0	0	0
Yersinia	95	175	0	0	0	0	0	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	24	9
Rahnella	31	70	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	60	0
Chania	3	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gibbsiella	3	33	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nissabacter	2	34	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusFukatsuia	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ewingella	1	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Providencia	91	132	3	0	0	0	191	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteus	53	112	4	0	6	0	1	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	41	9	2	0	29	0
Xenorhabdus	22	71	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photorhabdus	16	41	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Morganella	11	63	1	0	2	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	1	0	0	0	1	4	0
Arsenophonus	9	21	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moellerella	2	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buchnera	119	137	2	0	0	0	6	0	1	0	0	0	0	1	16	0	0	0	1	0	0	2	0	11	0	6	0	0	0
Pantoea	44	372	3	6	7	0	3	4	4	1	0	0	0	2	71	0	0	0	0	0	2	9	44	67	15	66	0	1	0
Erwinia	27	152	1	1	4	0	5	0	0	0	0	0	0	1	37	0	0	0	0	0	0	0	0	2	0	0	0	1	0
Mixta	2	70	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wigglesworthia	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectobacterium	39	176	3	1	2	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	6	0
Dickeya	27	196	4	0	1	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brenneria	7	47	3	1	1	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Musicola	1	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella	11	130	2	0	1	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hafnia	8	38	1	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Obesumbacterium	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sodalis	10	72	2	5	17	0	1	0	0	0	1	1	1	5	7	0	0	0	0	0	0	0	0	240	31	158	26	523	0
Jinshanibacter	4	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pragia	3	12	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leminorella	1	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoalteromonas	6732	230	7	0	0	0	2	0	0	0	0	0	0	0	172	0	0	0	2	0	0	0	0	0	0	1	1	3	0
Psychrosphaera	1	9	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flocculibacter	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	6	0
Shewanella	696	499	2	0	0	0	3	0	0	1	2	0	0	1	94	0	0	0	0	0	0	0	0	1	0	0	0	11	1
Parashewanella	7	19	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alteromonas	32	75	3	0	4	0	0	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinimonas	11	19	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraglaciecola	15	27	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Agarivorans	7	25	1	0	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharobesus	5	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Alkalimarinus	5	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraneptunicella	5	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Hydrocarboniclastica	1	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glaciecola	1	10	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catenovulum	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lacimicrobium	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colwellia	34	40	2	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Thalassotalea	8	21	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Litorilituus	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cognaticolwellia	1	10	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moritella	19	20	1	2	2	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	9	0	1	0	6	0
Idiomarina	8	13	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychromonas	2	16	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferrimonas	1	41	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas	4036	4629	0	0	2	0	1	0	0	0	0	0	1	0	183	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas	47	3610	7	0	5	0	0	0	0	10	0	0	0	0	62	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Lysobacter	19	3566	3	0	5	0	6	0	0	0	0	1	0	2	48	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Luteimonas	16	1244	0	0	0	0	2	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoxanthomonas	8	971	1	0	0	0	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylella	3	85	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermomonas	2	821	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudolysobacter	1	136	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyella	6	388	0	3	8	0	0	0	2	0	0	0	0	0	18	0	0	0	0	3	0	0	0	1	0	3	0	0	0
Luteibacter	5	396	2	0	0	0	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Rhodanobacter	4	382	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frateuria	1	292	1	0	1	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dokdonella	1	188	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahniella	1	45	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus	2701	265	916	5	1	0	3962	1	0	0	0	0	0	16	88	0	0	0	260	5	0	1	0	206	3	1	2913	30290	0
Aggregatibacter	135	275	24	0	0	0	54	0	0	0	0	0	0	0	6	0	0	0	7	1	0	0	0	0	0	0	22	174	0
Pasteurella	24	10947	1	0	0	0	9	0	0	0	0	5	0	0	6	0	0	0	2	0	0	0	0	0	0	0	3	82	0
Bibersteinia	22	1536	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	195	0
Mannheimia	16	461	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	8	163	0
Actinobacillus	9	303	3	0	0	0	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	41	766	0
Avibacterium	8	123	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	5	13	0
Glaesserella	5	250	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	57	0
Histophilus	5	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	53	0
Rodentibacter	4	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	67	0
Vespertiliibacter	3	48	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bisgaardia	2	20	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0
Gallibacterium	1	31	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Otariodibacter	1	28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	11	0
Mergibacter	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	33	0
Aeromonas	2285	839	2	0	2	0	10	0	0	0	0	0	0	2	238	0	0	0	0	0	0	0	4	1	0	0	0	1	0
Zobellella	3	39	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Oceanisphaera	2	24	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	8	0
Tolumonas	1	9	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Dongshaea	1	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinivibrio	5	9	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Pseudomonas	1353	7371	42	4	41	0	87	2	1	9	9	3	334	22	668	0	0	0	15	1	0	0	1	9	0	0	0	7	0
Stutzerimonas	16	495	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Entomomonas	9	15	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halopseudomonas	4	96	2	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azotobacter	3	150	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinobacter	28	245	4	0	0	0	1	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Vibrio	693	976	12	13	53	0	13	1	0	7	1	1	0	25	178	0	0	0	3	0	1	10	21	5	0	1	1	14	0
Photobacterium	42	134	0	0	1	0	0	1	0	0	0	0	0	1	16	0	0	0	0	0	0	0	1	0	0	0	0	3	0
Aliivibrio	17	32	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraphotobacterium	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thaumasiovibrio	5	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grimontia	3	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterovibrio	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	491	586	13	3	18	0	25	4	0	2	0	0	0	9	113	0	0	0	3	282	345	286	0	52	0	6	3	40	0
Psychrobacter	22	91	1	1	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moraxella	18	133	2	0	0	0	4	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquirhabdus	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neptunomonas	375	23	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinomonas	23	71	0	1	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinobacterium	8	78	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphritea	5	34	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassolituus	4	42	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacterioplanes	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas	57	964	7	0	7	0	6	0	2	0	0	0	0	0	98	0	0	0	2	0	0	0	2	1	0	0	0	0	0
CandidatusPortiera	7	1	1	5	6	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusCarsonella	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zymobacter	1	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kushneria	4	49	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endozoicomonas	11	61	2	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gynuella	3	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reinekea	2	10	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Saccharospirillum	1	29	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Alcanivorax	3	200	0	0	0	0	2	0	0	0	1	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Ketobacter	2	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	7	0
Spartinivicinus	3	7	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hahella	2	44	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oleiphilus	1	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidihalobacter	106	78	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	3	2	0	0	0	0	0
Thioalkalivibrio	5	148	0	0	2	0	0	0	0	0	0	0	0	2	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ectothiorhodospira	3	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquisalimonas	3	19	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halorhodospira	2	69	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiribacter	2	63	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Thiodictyon	5	32	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rheinheimera	4	27	0	0	0	0	1	0	0	0	0	0	0	0	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CandidatusNitrosacidococcus	4	6	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosococcus	4	35	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermochromatium	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioflavicoccus	2	37	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marichromatium	1	26	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiocapsa	1	29	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Granulosicoccus	3	16	0	1	6	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Sulfuriflexus	2	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfurivermis	1	42	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wenzhouxiangella	1	58	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woeseia	1	6	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Legionella	81	141	0	4	3	0	7	0	9	0	0	0	0	2	41	0	0	0	1	0	0	0	0	0	0	0	0	28	0
Tatlockia	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coxiella	18	19	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquicella	3	11	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Rickettsiella	2	11	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Francisella	40	69	5	1	7	0	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Allofrancisella	2	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Thiomicrorhabdus	5	22	0	0	8	0	1	3	0	0	0	0	0	6	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0
Piscirickettsia	5	14	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Thiomicrospira	4	35	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cycloclasticus	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylophaga	3	31	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenovibrio	3	14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiosulfativibrio	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiothrix	2	79	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beggiatoa	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellvibrio	8	93	1	0	0	0	9	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gilvimarinus	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Teredinibacter	5	27	3	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agarilytica	2	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinimicrobium	1	28	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simiduia	1	38	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Marinagarivorans	1	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharophagus	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbulbifer	19	214	2	0	0	0	5	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Aequoribacter	3	3	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Congregibacter	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kineobactrum	1	21	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylomonas	13	152	1	0	0	0	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Methylococcus	6	193	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Methylovulum	5	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylotuvimicrobium	4	5	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusMethylospira	3	27	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Methylomagnum	2	36	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Methylomicrobium	1	70	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Methylobacter	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocaldum	1	13	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CandidatusVesicomyosocius	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CandidatusRuthia	2	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
